Rank,Name,Median_score,Cooperation_rating
104,Hopeless,2.08477777778,0.6913662962962963
105,Thumper,2.08422222222,0.36853555555555556
106,Tester,2.08201851852,0.46810074074074076
107,Suspicious Tit For Tat,2.08018518519,0.46845148148148147
108,SolutionB5,2.07587037037,0.3403818518518518
109,$\phi$,2.07577777778,0.6763848148148148
110,Handshake,2.07351851852,0.1670977777777778
111,ThueMorse,2.07233333333,0.5000207407407408
112,$\pi$,2.06501851852,0.8091759259259259
113,Cycler DDC,2.05544444444,0.34722185185185184
114,Willing,2.03488888889,0.8714488888888889
115,Risky QLearner,2.02959259259,0.8761596296296297
116,Arrogant QLearner,2.02935185185,0.8766822222222223
117,Hesitant QLearner,2.02835185185,0.8769644444444444
118,Cautious QLearner,2.02707407407,0.8763640740740741
119,Tricky Cooperator,2.0245,0.8269337037037037
