Defector,Bully,Suspicious Tit For Tat,Tit For Tat,Alternator,Anti Tit For Tat,Win-Stay Lose-Shift,Cooperator
3.91486291486,2.80396825397,2.32142857143,2.17857142857,2.3481292517,2.04491432937,2.00311033504,1.48538961039
3.43733078516,2.8380952381,2.40702166497,2.03463310883,2.24917070507,2.06111111111,1.75892857143,1.55631035631
3.43784786642,2.95682937752,2.60098522167,2.2480952381,1.96850340136,2.3,1.92647058824,1.54642857143
3.34850863422,2.85957737914,2.6746031746,2.31598525698,2.23139558854,2.12359307359,1.59883449883,1.56870748299
3.30204081633,2.76994434137,2.14010989011,2.33033395176,2.19047619048,2.0119047619,1.89638932496,1.53571428571
2.87301587302,3.02154195011,2.68269671505,1.96825396825,2.21590769641,2.12261904762,1.90884353741,1.4963961039
3.62857142857,3.23337334934,2.76227904955,1.6619047619,2.11904761905,2.11204481793,1.79344151454,1.6875
3.33212944752,3.32983193277,2.73412698413,2.02936507937,2.08536748033,2.17857142857,1.66840038513,1.45918367347
3.90249433107,2.80204081633,2.45910364146,2.11734693878,2.28483059891,2.3619047619,1.98979591837,1.52857142857
3.29768270945,2.89047619048,3.14682539683,2.26555046261,2.26412476412,1.67883307169,1.68738404453,1.53571428571
3.31501831502,2.5464030505,2.9880952381,2.36282051282,1.90483996877,2.11111111111,1.85714285714,1.33333333333
2.87573696145,2.98349885409,2.42857142857,2.29488975077,2.2813330849,2.21062271062,1.82747252747,1.31150793651
3.54578754579,3.20952380952,2.36693465265,2.16870748299,2.25251415251,2.08593073593,1.82783882784,1.49134199134
3.42570473005,3.22049689441,2.71175563567,1.88571428571,1.99134199134,2.26495726496,2.03152899956,1.48333333333
3.55930735931,2.59258861439,2.41628014842,2.2380952381,2.18721482261,2.23639455782,1.95097351588,1.49675324675
3.66666666667,2.95068027211,2.42407154249,2.09967532468,2.24560657596,2.03571428571,1.88958425475,1.52380952381
3.34837092732,3.2619047619,2.30621195847,2.41353383459,1.97652162592,2.3524069915,1.96222699606,1.44916639425
3.64985994398,2.95903573551,2.41721809936,2.18231292517,2.22528860029,2.03506069094,1.8743997599,1.46428571429
2.7974025974,3.57142857143,2.15878618114,2.05306122449,1.82555931463,1.99775910364,1.8818487395,1.77619047619
3.66666666667,2.98388278388,2.40236350951,2.31836734694,2.18027210884,2.33965586234,1.94897959184,1.47759103641
3.50952380952,2.76615646259,2.80430839002,2.31156462585,2.47228406514,1.66774891775,1.85714285714,1.57142857143
3.57142857143,2.56916099773,2.6552094522,2.18500273673,2.09736101337,2.20408163265,1.86807928913,1.32857142857
3.52506541078,2.72553636839,2.4253968254,2.36031746032,2.36394557823,1.98673469388,1.85714285714,1.44489795918
3.07080919081,2.88203463203,2.40021645022,2.18646258503,2.12729334158,2.09693877551,1.84093406593,1.75408163265
3.11428571429,3.14285714286,2.94047619048,1.8880952381,2.113997114,2.09920634921,1.71645021645,1.42857142857
3.27851140456,2.8612244898,2.2619047619,2.20771385477,2.20149136578,2.31156462585,1.91666666667,1.43571428571
3.20919398062,2.86095238095,2.5022675737,2.24054421769,2.17301587302,2.46666666667,2.17037724181,1.47857142857
3.23769507803,2.84580498866,2.79096459096,2.19771908764,2.17014652015,1.88095238095,1.94897959184,1.66428571429
3.20952380952,2.80086580087,2.72222222222,2.09047619048,2.45021645022,2.09047619048,1.95238095238,1.70952380952
3.29157509158,2.89421768707,2.56298701299,2.26837606838,2.22300253435,2.05646258503,1.92965367965,1.15546218487
3.26007326007,2.70714285714,2.5563840921,2.25228937729,2.47258991009,2.09013605442,1.71904761905,1.51948051948
3.24436090226,2.79096638655,2.42051557465,2.28317974049,2.21587941628,2.1341781874,1.90143706039,1.17857142857
3.51428571429,2.75238095238,2.49761904762,2.40714285714,2.19087301587,2.17940685046,1.9619047619,1.43684210526
3.78571428571,2.825,2.73291316527,2.19557823129,2.06799386421,2.16383219955,2.02551020408,1.25
3.36250944822,3.1929809749,2.48924963925,1.76360544218,2.4800529693,1.80194805195,1.94353741497,1.83270676692
3.24149659864,3.33928571429,2.30136054422,1.97611653357,1.96673669468,2.06999756424,1.90680272109,1.7193877551
3.87773621245,3.05910609858,2.76357927786,2.25255102041,2.26790438398,1.7619047619,1.76127320955,1.62857142857
3.18705259882,2.79926108374,2.48265306122,1.96622718053,2.10476190476,1.83333333333,1.85155981585,1.88571428571
3.66666666667,2.72619047619,2.70909090909,2.26746031746,1.69206349206,2.07972582973,1.87655279503,1.8
3.4025974026,3.02690166976,2.73926694424,1.80612244898,2.21428571429,1.90714285714,2.05100334448,1.59769299024
3.28998778999,2.93021978022,2.78733647305,2.27380952381,2.41084946799,2.10492457853,1.51530612245,1.44720496894
3.22977022977,3.24908424908,2.59056956116,1.93928001823,2.26208791209,1.95515258735,1.75641025641,1.66666666667
3.27803121248,2.82180599915,2.65624912172,1.99116479194,2.1722011322,2.00897220427,1.84714285714,1.58850931677
3.58109559613,2.69603610675,2.94099378882,1.94632735685,2.17863756614,2.02564102564,2.15476190476,1.52227000053
3.4,2.83790849673,2.55638901329,2.16734693878,2.28416214971,1.99659863946,2.09523809524,1.69950738916
3.19150818222,2.929138322,2.90249433107,2.4063881963,1.81251204935,2.32908163265,1.93867481203,1.09821428571
