Rank,Name,Median_score,Cooperation_rating
104,Calculator,2.11360507246,0.3035985507246377
105,Alternator,2.10858695652,0.5
106,Random: 0.5,2.10255434783,0.49999782608695653
107,SolutionB1,2.09541666667,0.8931583333333334
108,$\pi$,2.09331521739,0.7864626811594203
109,$e$,2.09248188406,0.7650742753623189
110,Hopeless,2.08121376812,0.718618115942029
111,Cooperator Hunter,2.07548913043,0.9443246376811594
112,$\phi$,2.06523550725,0.670761231884058
113,ThueMorse,2.0569384058,0.5
114,Win-Shift Lose-Stay,2.05601449275,0.5585253623188405
115,Anti Tit For Tat,2.05454710145,0.5636952898550724
116,Opposite Grudger,2.05436594203,0.8974576086956522
117,Naive Prober: 0.1,2.04960144928,0.4035731884057971
118,Joss: 0.9,2.04686594203,0.4031521739130435
119,AntiCycler,2.03768115942,0.91
